id,key,de
60,emergencySpandauPhoneNumber,+49 30 390 63 - 30
61,emergencySteglitzZehlendorfPhoneNumber,+49 30 390 63 - 60
62,emergencyTempelhofSchoenebergPhoneNumber,+49 30 390 63 - 60
63,emergencyTrepotowKoepenickPhoneNumber,+49 30 390 63 - 80
64,footerTSBLogoLink,https://www.technologiestiftung-berlin.de/
65,footerCityLABLogoLink,https://citylab-berlin.org/
66,footerSenWGPGLogoLink,https://www.berlin.de/sen/wgpg/
67,footerSentatskanzleiLogoLink,https://www.berlin.de/rbmskzl/
68,welcomeFiltersHeadline,Schnell und einfach zu den passenden Angeboten
69,welcomeFiltersText,"Wähle ein oder mehrere Themen aus, für die Du Empfehlungen erhalten möchtest. Du kannst Deine Auswahl später jederzeit anpassen."
70,filtersButtonTextFilteredPlural,#number Angebote zeigen
71,filtersButtonTextFilteredSingular,Ein Angebot zeigen
72,filtersButtonTextAllFilters,Alle Angebote
73,filtersButtonTextFilteredNoResults,Keine Ergebnisse
74,filtersButtonTextFilteredNoResultsHint,Für diese Themenkombination gibt es leider keine Ergebnisse. Versuche weniger Schlagworte.
75,noTargetPreferenceButtonText,Keine Präferenz
76,orLabel,Oder
77,filtersSearchTargetLabel,Speziell für
78,filtersSearchTargetLabelOnCard,Speziell für
79,filtersGeoSearchLabel,Nähe zu den Angeboten zeigen
80,geolocationForbidden,Entweder unterstützt Dein Browser keine Geolokalisierung oder die Einwilligung wurde nicht gegeben.
81,mapPageTitle,#number Ergebnisse
82,opened,Geöffnet
83,weekdayMonday,Montag
84,weekdayTuesday,Dienstag
85,weekdayWednesday,Mittwoch
86,weekdayThursday,Donnerstag
87,weekdayFriday,Freitag
88,weekdaySaturday,Samstag
89,weekdaySunday,Sonntag
90,filteredResultsAmountPlural,"#number Ergebnisse passen zu Deiner Suche. Klicke auf ein Ergebnis, um mehr Informationen zu erhalten."
91,filteredResultsAmountSingular,"Ein Ergebnis passt zu Deiner Suche. Klicke auf das Ergebnis, um mehr Informationen zu erhalten."
92,resetFilters,Filter zurücksetzen
93,noResults,Keine Ergebnisse für diese Suche.
94,seeMap,Karte anzeigen
95,seeList,Liste anzeigen
96,filterLabel,Suche
97,backToHome,Zurück zum Start
98,seelsorgePhoneNumber2,(0800) 111 0 222
99,seelsorgePhoneNumber,(0800) 111 0 111
100,drugsPhoneLabel,Drogennotruf
101,drugsPhoneNumber1,(030) 192 37
102,accessibleLabel,Barrierefrei
103,openFacilityLinkText,Einrichtung ansehen
104,alwaysOpened,Immer geöffnet
105,reset,Zurücksetzen
106,distanceLabel,#distance km von mir entfernt
107,filtersTagsLabelOnCard,Themen
108,andAllOtherFiltersLabel,und alle anderen
109,allOtherFiltersLabel,Alle
110,multipleFacilitiesPopupTitle,#number Einrichtungen
111,clickToExpandPopupLabel,Erweitern mit Klick
112,kidsPhoneNumber1,(030) 61 00 66
113,kidsPhoneLabel,Hotline Kinderschutz
114,muslimSeelsorgeLabel,Muslimisches Seelsorge Telefon
115,muslimSeelsorgePhoneNumber,(030) 443 509 821
116,furtherEmergencyNumbersLabel,Weitere Rufnummern unter
117,furtherEmergencyNumbersLinkText,berliner-notruf.de
118,furtherEmergencyNumbersLinkUrl,https://www.berliner-notruf.de/
119,languagesLabel,Sprachen
120,disclaimerContent,Dies ist ein Angebot des CityLAB Berlin und befindet sich in der Testphase.
121,disclaimerPrefix,Hinweis:
122,filtersButtonTextResults,Angebote ansehen
123,resultPageTitle,Angebote
124,resultPageIntro,Hier sind die besten Treffer für Deine Suche nach:
125,moreInfos,Mehr Infos
126,textSearchLabel,Detailsuche
127,textSearchPlaceholder,Suchbegriff eingeben
128,textSearchCategorySelfHelp,Selbsthilfegruppen
129,textSearchCategoryAdvising,Beratungsstellen
130,textSearchCategoryClinics,Kliniken
131,textSearchCategoryOnlineOffers,Onlineangebote
132,textSearchCategoryDistrictOfficeHelp,Hilfe vom Bezirksamt
133,optionalFurtherSearchIntroText,Du kannst optional die Suche weiter eingrenzen:
134,filtersButtonLoading,Lädt...
135,websiteLabel,Webseite
136,footerMapPageLinkText,Alle Angebote
137,offerTypesIntroText,Bitte wähle die gewünschten Angebote:
